district,year,season,avg_evapotranspiration
Ampara,2010,Apr-Aug,4.6
Ampara,2010,Sep-Mar,3.76
Ampara,2011,Apr-Aug,4.86
Ampara,2011,Sep-Mar,3.54
Ampara,2012,Apr-Aug,5.23
Ampara,2012,Sep-Mar,3.89
Ampara,2013,Apr-Aug,4.9
Ampara,2013,Sep-Mar,3.79
Ampara,2014,Apr-Aug,5.0
Ampara,2014,Sep-Mar,3.65
Ampara,2015,Apr-Aug,4.83
Ampara,2015,Sep-Mar,3.67
Ampara,2016,Apr-Aug,4.83
Ampara,2016,Sep-Mar,4.18
Ampara,2017,Apr-Aug,5.01
Ampara,2017,Sep-Mar,3.69
Ampara,2018,Apr-Aug,4.84
Ampara,2018,Sep-Mar,3.67
Ampara,2019,Apr-Aug,5.24
Ampara,2019,Sep-Mar,3.71
Ampara,2020,Apr-Aug,4.7
Ampara,2020,Sep-Mar,4.06
Ampara,2021,Apr-Aug,4.7
Ampara,2021,Sep-Mar,3.71
Ampara,2022,Apr-Aug,4.62
Ampara,2022,Sep-Mar,3.92
Ampara,2023,Apr-Aug,4.94
Ampara,2023,Sep-Mar,3.77
Ampara,2024,Apr-Aug,4.75
Ampara,2024,Sep-Mar,4.24
Anuradhapura,2010,Apr-Aug,4.43
Anuradhapura,2010,Sep-Mar,3.81
Anuradhapura,2011,Apr-Aug,4.73
Anuradhapura,2011,Sep-Mar,3.6
Anuradhapura,2012,Apr-Aug,5.25
Anuradhapura,2012,Sep-Mar,3.99
Anuradhapura,2013,Apr-Aug,4.65
Anuradhapura,2013,Sep-Mar,3.78
Anuradhapura,2014,Apr-Aug,5.0
Anuradhapura,2014,Sep-Mar,3.67
Anuradhapura,2015,Apr-Aug,4.63
Anuradhapura,2015,Sep-Mar,3.66
Anuradhapura,2016,Apr-Aug,4.71
Anuradhapura,2016,Sep-Mar,4.38
Anuradhapura,2017,Apr-Aug,4.92
Anuradhapura,2017,Sep-Mar,3.75
Anuradhapura,2018,Apr-Aug,4.64
Anuradhapura,2018,Sep-Mar,3.86
Anuradhapura,2019,Apr-Aug,5.05
Anuradhapura,2019,Sep-Mar,3.91
Anuradhapura,2020,Apr-Aug,4.55
Anuradhapura,2020,Sep-Mar,4.07
Anuradhapura,2021,Apr-Aug,4.57
Anuradhapura,2021,Sep-Mar,3.77
Anuradhapura,2022,Apr-Aug,4.49
Anuradhapura,2022,Sep-Mar,3.95
Anuradhapura,2023,Apr-Aug,5.05
Anuradhapura,2023,Sep-Mar,3.86
Anuradhapura,2024,Apr-Aug,4.63
Anuradhapura,2024,Sep-Mar,4.63
Badulla,2010,Apr-Aug,4.21
Badulla,2010,Sep-Mar,3.66
Badulla,2011,Apr-Aug,4.7
Badulla,2011,Sep-Mar,3.41
Badulla,2012,Apr-Aug,5.11
Badulla,2012,Sep-Mar,3.66
Badulla,2013,Apr-Aug,4.55
Badulla,2013,Sep-Mar,3.6
Badulla,2014,Apr-Aug,4.68
Badulla,2014,Sep-Mar,3.53
Badulla,2015,Apr-Aug,4.47
Badulla,2015,Sep-Mar,3.48
Badulla,2016,Apr-Aug,4.56
Badulla,2016,Sep-Mar,4.19
Badulla,2017,Apr-Aug,4.46
Badulla,2017,Sep-Mar,3.36
Badulla,2018,Apr-Aug,4.06
Badulla,2018,Sep-Mar,3.38
Badulla,2019,Apr-Aug,4.39
Badulla,2019,Sep-Mar,3.35
Badulla,2020,Apr-Aug,4.19
Badulla,2020,Sep-Mar,3.71
Badulla,2021,Apr-Aug,4.04
Badulla,2021,Sep-Mar,3.37
Badulla,2022,Apr-Aug,3.96
Badulla,2022,Sep-Mar,3.57
Badulla,2023,Apr-Aug,4.4
Badulla,2023,Sep-Mar,3.2
Badulla,2024,Apr-Aug,4.31
Badulla,2024,Sep-Mar,3.9
Batticaloa,2010,Apr-Aug,4.81
Batticaloa,2010,Sep-Mar,3.92
Batticaloa,2011,Apr-Aug,4.94
Batticaloa,2011,Sep-Mar,3.62
Batticaloa,2012,Apr-Aug,5.22
Batticaloa,2012,Sep-Mar,3.98
Batticaloa,2013,Apr-Aug,5.11
Batticaloa,2013,Sep-Mar,3.91
Batticaloa,2014,Apr-Aug,5.25
Batticaloa,2014,Sep-Mar,3.78
Batticaloa,2015,Apr-Aug,4.95
Batticaloa,2015,Sep-Mar,3.76
Batticaloa,2016,Apr-Aug,5.11
Batticaloa,2016,Sep-Mar,4.34
Batticaloa,2017,Apr-Aug,5.28
Batticaloa,2017,Sep-Mar,3.85
Batticaloa,2018,Apr-Aug,5.11
Batticaloa,2018,Sep-Mar,3.81
Batticaloa,2019,Apr-Aug,5.15
Batticaloa,2019,Sep-Mar,3.88
Batticaloa,2020,Apr-Aug,4.86
Batticaloa,2020,Sep-Mar,4.18
Batticaloa,2021,Apr-Aug,4.9
Batticaloa,2021,Sep-Mar,3.86
Batticaloa,2022,Apr-Aug,4.77
Batticaloa,2022,Sep-Mar,3.99
Batticaloa,2023,Apr-Aug,5.04
Batticaloa,2023,Sep-Mar,3.83
Batticaloa,2024,Apr-Aug,4.83
Batticaloa,2024,Sep-Mar,4.5
Colombo,2010,Apr-Aug,3.28
Colombo,2010,Sep-Mar,3.63
Colombo,2011,Apr-Aug,3.47
Colombo,2011,Sep-Mar,3.53
Colombo,2012,Apr-Aug,3.54
Colombo,2012,Sep-Mar,3.72
Colombo,2013,Apr-Aug,3.46
Colombo,2013,Sep-Mar,3.68
Colombo,2014,Apr-Aug,3.53
Colombo,2014,Sep-Mar,3.82
Colombo,2015,Apr-Aug,3.61
Colombo,2015,Sep-Mar,3.72
Colombo,2016,Apr-Aug,3.63
Colombo,2016,Sep-Mar,4.11
Colombo,2017,Apr-Aug,3.79
Colombo,2017,Sep-Mar,3.79
Colombo,2018,Apr-Aug,3.58
Colombo,2018,Sep-Mar,3.93
Colombo,2019,Apr-Aug,3.78
Colombo,2019,Sep-Mar,3.83
Colombo,2020,Apr-Aug,3.68
Colombo,2020,Sep-Mar,3.97
Colombo,2021,Apr-Aug,3.72
Colombo,2021,Sep-Mar,3.69
Colombo,2022,Apr-Aug,3.73
Colombo,2022,Sep-Mar,4.0
Colombo,2023,Apr-Aug,3.98
Colombo,2023,Sep-Mar,3.66
Colombo,2024,Apr-Aug,4.01
Colombo,2024,Sep-Mar,4.63
Galle,2010,Apr-Aug,3.78
Galle,2010,Sep-Mar,3.9
Galle,2011,Apr-Aug,3.98
Galle,2011,Sep-Mar,3.8
Galle,2012,Apr-Aug,4.04
Galle,2012,Sep-Mar,3.89
Galle,2013,Apr-Aug,3.98
Galle,2013,Sep-Mar,3.86
Galle,2014,Apr-Aug,4.0
Galle,2014,Sep-Mar,4.03
Galle,2015,Apr-Aug,4.07
Galle,2015,Sep-Mar,3.86
Galle,2016,Apr-Aug,3.98
Galle,2016,Sep-Mar,4.22
Galle,2017,Apr-Aug,3.91
Galle,2017,Sep-Mar,3.74
Galle,2018,Apr-Aug,3.66
Galle,2018,Sep-Mar,3.77
Galle,2019,Apr-Aug,3.82
Galle,2019,Sep-Mar,3.61
Galle,2020,Apr-Aug,3.77
Galle,2020,Sep-Mar,4.06
Galle,2021,Apr-Aug,3.89
Galle,2021,Sep-Mar,3.68
Galle,2022,Apr-Aug,3.94
Galle,2022,Sep-Mar,3.92
Galle,2023,Apr-Aug,4.07
Galle,2023,Sep-Mar,3.53
Galle,2024,Apr-Aug,3.92
Galle,2024,Sep-Mar,4.44
Gampaha,2010,Apr-Aug,3.32
Gampaha,2010,Sep-Mar,3.7
Gampaha,2011,Apr-Aug,3.51
Gampaha,2011,Sep-Mar,3.56
Gampaha,2012,Apr-Aug,3.57
Gampaha,2012,Sep-Mar,3.79
Gampaha,2013,Apr-Aug,3.43
Gampaha,2013,Sep-Mar,3.75
Gampaha,2014,Apr-Aug,3.54
Gampaha,2014,Sep-Mar,3.85
Gampaha,2015,Apr-Aug,3.62
Gampaha,2015,Sep-Mar,3.79
Gampaha,2016,Apr-Aug,3.64
Gampaha,2016,Sep-Mar,4.2
Gampaha,2017,Apr-Aug,3.6
Gampaha,2017,Sep-Mar,3.83
Gampaha,2018,Apr-Aug,3.49
Gampaha,2018,Sep-Mar,3.99
Gampaha,2019,Apr-Aug,3.67
Gampaha,2019,Sep-Mar,3.88
Gampaha,2020,Apr-Aug,3.63
Gampaha,2020,Sep-Mar,4.06
Gampaha,2021,Apr-Aug,3.59
Gampaha,2021,Sep-Mar,3.73
Gampaha,2022,Apr-Aug,3.63
Gampaha,2022,Sep-Mar,4.02
Gampaha,2023,Apr-Aug,3.93
Gampaha,2023,Sep-Mar,3.7
Gampaha,2024,Apr-Aug,3.93
Gampaha,2024,Sep-Mar,4.8
Hambantota,2010,Apr-Aug,4.62
Hambantota,2010,Sep-Mar,4.33
Hambantota,2011,Apr-Aug,4.86
Hambantota,2011,Sep-Mar,3.95
Hambantota,2012,Apr-Aug,5.08
Hambantota,2012,Sep-Mar,4.17
Hambantota,2013,Apr-Aug,4.92
Hambantota,2013,Sep-Mar,4.15
Hambantota,2014,Apr-Aug,5.19
Hambantota,2014,Sep-Mar,4.41
Hambantota,2015,Apr-Aug,4.79
Hambantota,2015,Sep-Mar,4.06
Hambantota,2016,Apr-Aug,4.81
Hambantota,2016,Sep-Mar,4.79
Hambantota,2017,Apr-Aug,5.38
Hambantota,2017,Sep-Mar,4.44
Hambantota,2018,Apr-Aug,4.74
Hambantota,2018,Sep-Mar,4.3
Hambantota,2019,Apr-Aug,4.73
Hambantota,2019,Sep-Mar,4.2
Hambantota,2020,Apr-Aug,4.85
Hambantota,2020,Sep-Mar,4.84
Hambantota,2021,Apr-Aug,5.12
Hambantota,2021,Sep-Mar,4.4
Hambantota,2022,Apr-Aug,5.04
Hambantota,2022,Sep-Mar,4.69
Hambantota,2023,Apr-Aug,5.37
Hambantota,2023,Sep-Mar,4.18
Hambantota,2024,Apr-Aug,4.43
Hambantota,2024,Sep-Mar,5.0
Jaffna,2010,Apr-Aug,5.19
Jaffna,2010,Sep-Mar,4.33
Jaffna,2011,Apr-Aug,5.32
Jaffna,2011,Sep-Mar,4.18
Jaffna,2012,Apr-Aug,5.6
Jaffna,2012,Sep-Mar,4.6
Jaffna,2013,Apr-Aug,5.41
Jaffna,2013,Sep-Mar,4.54
Jaffna,2014,Apr-Aug,5.53
Jaffna,2014,Sep-Mar,4.28
Jaffna,2015,Apr-Aug,5.16
Jaffna,2015,Sep-Mar,4.32
Jaffna,2016,Apr-Aug,5.27
Jaffna,2016,Sep-Mar,4.87
Jaffna,2017,Apr-Aug,5.3
Jaffna,2017,Sep-Mar,4.05
Jaffna,2018,Apr-Aug,4.93
Jaffna,2018,Sep-Mar,4.03
Jaffna,2019,Apr-Aug,5.28
Jaffna,2019,Sep-Mar,4.17
Jaffna,2020,Apr-Aug,4.93
Jaffna,2020,Sep-Mar,4.25
Jaffna,2021,Apr-Aug,4.95
Jaffna,2021,Sep-Mar,3.99
Jaffna,2022,Apr-Aug,4.86
Jaffna,2022,Sep-Mar,4.17
Jaffna,2023,Apr-Aug,5.18
Jaffna,2023,Sep-Mar,4.25
Jaffna,2024,Apr-Aug,5.12
Jaffna,2024,Sep-Mar,5.07
Kalutara,2010,Apr-Aug,3.26
Kalutara,2010,Sep-Mar,3.54
Kalutara,2011,Apr-Aug,3.46
Kalutara,2011,Sep-Mar,3.49
Kalutara,2012,Apr-Aug,3.5
Kalutara,2012,Sep-Mar,3.66
Kalutara,2013,Apr-Aug,3.43
Kalutara,2013,Sep-Mar,3.61
Kalutara,2014,Apr-Aug,3.5
Kalutara,2014,Sep-Mar,3.71
Kalutara,2015,Apr-Aug,3.59
Kalutara,2015,Sep-Mar,3.62
Kalutara,2016,Apr-Aug,3.58
Kalutara,2016,Sep-Mar,3.97
Kalutara,2017,Apr-Aug,3.82
Kalutara,2017,Sep-Mar,3.79
Kalutara,2018,Apr-Aug,3.62
Kalutara,2018,Sep-Mar,3.89
Kalutara,2019,Apr-Aug,3.81
Kalutara,2019,Sep-Mar,3.72
Kalutara,2020,Apr-Aug,3.76
Kalutara,2020,Sep-Mar,3.97
Kalutara,2021,Apr-Aug,3.8
Kalutara,2021,Sep-Mar,3.71
Kalutara,2022,Apr-Aug,3.79
Kalutara,2022,Sep-Mar,3.98
Kalutara,2023,Apr-Aug,4.01
Kalutara,2023,Sep-Mar,3.65
Kalutara,2024,Apr-Aug,4.01
Kalutara,2024,Sep-Mar,4.54
Kandy,2010,Apr-Aug,3.46
Kandy,2010,Sep-Mar,3.39
Kandy,2011,Apr-Aug,3.81
Kandy,2011,Sep-Mar,3.27
Kandy,2012,Apr-Aug,3.99
Kandy,2012,Sep-Mar,3.58
Kandy,2013,Apr-Aug,3.53
Kandy,2013,Sep-Mar,3.35
Kandy,2014,Apr-Aug,3.73
Kandy,2014,Sep-Mar,3.38
Kandy,2015,Apr-Aug,3.77
Kandy,2015,Sep-Mar,3.44
Kandy,2016,Apr-Aug,3.74
Kandy,2016,Sep-Mar,3.91
Kandy,2017,Apr-Aug,3.87
Kandy,2017,Sep-Mar,3.77
Kandy,2018,Apr-Aug,3.5
Kandy,2018,Sep-Mar,3.87
Kandy,2019,Apr-Aug,4.04
Kandy,2019,Sep-Mar,3.77
Kandy,2020,Apr-Aug,3.86
Kandy,2020,Sep-Mar,4.05
Kandy,2021,Apr-Aug,3.61
Kandy,2021,Sep-Mar,3.63
Kandy,2022,Apr-Aug,3.63
Kandy,2022,Sep-Mar,3.82
Kandy,2023,Apr-Aug,4.25
Kandy,2023,Sep-Mar,3.62
Kandy,2024,Apr-Aug,4.24
Kandy,2024,Sep-Mar,4.71
Kegalle,2010,Apr-Aug,3.32
Kegalle,2010,Sep-Mar,3.55
Kegalle,2011,Apr-Aug,3.53
Kegalle,2011,Sep-Mar,3.41
Kegalle,2012,Apr-Aug,3.67
Kegalle,2012,Sep-Mar,3.72
Kegalle,2013,Apr-Aug,3.38
Kegalle,2013,Sep-Mar,3.55
Kegalle,2014,Apr-Aug,3.53
Kegalle,2014,Sep-Mar,3.65
Kegalle,2015,Apr-Aug,3.59
Kegalle,2015,Sep-Mar,3.66
Kegalle,2016,Apr-Aug,3.61
Kegalle,2016,Sep-Mar,4.11
Kegalle,2017,Apr-Aug,3.54
Kegalle,2017,Sep-Mar,3.84
Kegalle,2018,Apr-Aug,3.35
Kegalle,2018,Sep-Mar,3.98
Kegalle,2019,Apr-Aug,3.72
Kegalle,2019,Sep-Mar,3.95
Kegalle,2020,Apr-Aug,3.7
Kegalle,2020,Sep-Mar,4.1
Kegalle,2021,Apr-Aug,3.5
Kegalle,2021,Sep-Mar,3.74
Kegalle,2022,Apr-Aug,3.55
Kegalle,2022,Sep-Mar,3.96
Kegalle,2023,Apr-Aug,4.16
Kegalle,2023,Sep-Mar,3.74
Kegalle,2024,Apr-Aug,4.12
Kegalle,2024,Sep-Mar,4.91
Kilinochchi,2010,Apr-Aug,5.48
Kilinochchi,2010,Sep-Mar,4.26
Kilinochchi,2011,Apr-Aug,5.63
Kilinochchi,2011,Sep-Mar,4.05
Kilinochchi,2012,Apr-Aug,6.21
Kilinochchi,2012,Sep-Mar,4.47
Kilinochchi,2013,Apr-Aug,5.75
Kilinochchi,2013,Sep-Mar,4.44
Kilinochchi,2014,Apr-Aug,5.89
Kilinochchi,2014,Sep-Mar,4.13
Kilinochchi,2015,Apr-Aug,5.45
Kilinochchi,2015,Sep-Mar,4.13
Kilinochchi,2016,Apr-Aug,5.52
Kilinochchi,2016,Sep-Mar,4.78
Kilinochchi,2017,Apr-Aug,5.98
Kilinochchi,2017,Sep-Mar,4.07
Kilinochchi,2018,Apr-Aug,5.65
Kilinochchi,2018,Sep-Mar,4.06
Kilinochchi,2019,Apr-Aug,6.04
Kilinochchi,2019,Sep-Mar,4.2
Kilinochchi,2020,Apr-Aug,5.38
Kilinochchi,2020,Sep-Mar,4.41
